Item Name,Rate
X-RAY Foot AP view (Digital),600
X-RAY Foot B/V (Digital),600
X-RAY Foot lateral view (Digital),600
X-RAY Forearm Including Wrist Joint LT. B/V,800
X-RAY Forearm Including Wrist Joint RT. B/V,800
X-RAY Frontal Bone B/V,700
X-RAY Frontal Bone Lat View,500
X-RAY Frontal Bone P/A view,500
X-RAY Hip Joint Frog Leg Lateral View,1000
X-RAY Hip joint B/V (Digital),1000
X-RAY IVU (Digital),2000
X-RAY KUB Region (Digital),500
X-RAY Knee Joint Including Leg LT. B/V,800
X-RAY Knee Joint Including Leg RT. B/V,800
X-RAY Knee skyline view,700
X-RAY LT. Ankle joint B/V (Digital),600
X-RAY LT. Calcaneus.,600
X-RAY LT. Calvicle AP,500
X-RAY LT. Elbow joint B/V (Digital),700
X-RAY LT. Foot AP & oblique view,600
X-RAY LT. Foot B/V (Digital),600
X-RAY LT. Fore arm B/V (Digital),700
X-RAY LT. HEEL B/V (Digital),600
X-RAY LT. HIP joint B/V (Digital),1000
X-RAY LT. HIP joint L/V (Digital),1000
X-RAY LT. HIP with femaor B/V (Digital),800
X-RAY LT. Hand B/V (Child),700
X-RAY LT. Hand B/V (Digital),700
X-RAY LT. Humerus (Digital),700
X-RAY LT. Knee joint B/V (Digital),700
X-RAY LT. Knee skylin view ( Digital),700
X-RAY LT. Leg B/V (Digital),700
X-RAY LT. Scapula B/V,700
X-RAY LT. Shoulder AP view (Digital),500
X-RAY LT. Shoulder joint B/V,800
X-RAY LT. Thigh B/V,700
X-RAY LT. Thumb joint (Digital),700
X-RAY LT. arm & elbow AP lateral,800
X-RAY LT. arm B/V,700
X-RAY LT. finger B/V,700
X-RAY LT. leg B/V (Digital),700
X-RAY LT. wrist joint B/V (Digital),700
X-RAY LT. wrist with elbow joint B/V (Digital),800
X-RAY Lang styloid process trans. oblique view,500
X-RAY Left Tibia & Febula (Digital),700
X-RAY Left femaor (Digital),700
X-RAY Left index Finger (Digital),700
X-RAY Left toe B/V (Digital),600
X-RAY Lower Abdomen,500
X-RAY Lumber LT. Oblique View,500
X-RAY Lumber RT. Oblique view,500
X-RAY Lumber Spine A/P View,500
X-RAY Lumber spine AP (Digital),500
X-RAY Lumber spine flexion-extension View,700
X-RAY Lumber spine lateral (Digital),500
X-RAY Lumbo sacral (L/S) LT. Oblique View,500
X-RAY Lumbo sacral (L/S) RT. Lat View,500
X-RAY Lumbo sacral RT. Oblique view,500
X-RAY Lumbo sacral Spine A/P View,500
X-RAY Lumbo sacral Spine LT. Lat View,500
X-RAY Mandible (LT. side),700
X-RAY Mandible A/P View,500
X-RAY Mandible B/V,700
X-RAY Mandible Lat View,500
X-RAY Mandible RT. lateral,500
X-RAY Mandibular Region,700
X-RAY Mastoid Townes view,700
X-RAY Maxilla A/P View,500
X-RAY Maxilla Lat view,500
X-RAY Nasal Bone B/V,700
X-RAY Nasal Bone Lat View,500
X-RAY Nasal bone (Digital),500
X-RAY Nasal bone B/V,700
X-RAY Nasopharynx Lateral view (Digital),500
X-RAY Neck AP view (Digital),500
X-RAY Neck B/V (Digital),700
X-RAY Neck LAT. view (Digital),500
X-RAY Neck of Femur LT. B/V,700
X-RAY Neck of Femur RT. B/V,700
X-RAY Nose B/V (Digital),700
X-RAY Nose lateral view (Digital),600
X-RAY Oblique view of both S/I joint,700
X-RAY PNS B/V (Digital),700
X-RAY PNS OM view (Digital),500
X-RAY PNS lateral view,500
X-RAY Pelvis AP view (Digital ),500
X-RAY Pelvis B/V (Digital),700
X-RAY Pelvis RT. Oblique view,500
X-RAY Plain abdomen,700
X-RAY RT THIGH B/V,700
X-RAY RT index finger B/V (Digital),700
X-RAY RT. Ankle joint B/V (Digital),600
X-RAY RT. Calcanius,600
X-RAY RT. Clavicle AP view (Digital),500
X-RAY RT. Elbow joint B/V (Digital),700
X-RAY RT. Femour B/V,700
X-RAY RT. Finger (Digital),700
X-RAY RT. Finger B/V (Digital),700
X-RAY RT. Foot B/V (Digital),600
X-RAY RT. Fore arm B/V (Digital),700
X-RAY RT. Great Toe (Digital),600
X-RAY RT. HIP joint B/V (Digital),1000
X-RAY RT. HIP with femour B/V (Digital),800
X-RAY RT. Heel B/V view,600
X-RAY RT. Heel L/V (Digital),600
X-RAY RT. Humers (Digital),700
X-RAY RT. Knee joint B/V (Digital),700
X-RAY RT. Leg B/V (Digital),700
X-RAY RT. Leg ankle AP lateral (Digital),800
X-RAY RT. Scaphoid Bone (Digital),700
X-RAY RT. Scapula,700
X-RAY RT. Shoulder AP & Axillary view,800
X-RAY RT. Shoulder B/V (Digital),800
X-RAY RT. Shoulder joint AP view (Digital),500
X-RAY RT. TIBIA & FEBULA (Digital),700
X-RAY RT. TIM Joint (Digital),700
X-RAY RT. TIM joint B/V (Digital),700
X-RAY RT. Thumb joint (Digital),700
X-RAY RT. arm & elbow AP lateral,800
X-RAY RT. arm B/V (Digital),700
X-RAY RT. hand B/V (Digital),700
X-RAY RT. knee with thigh B/V (Digital),800
X-RAY RT. wrist joint AP view (Digital),500
X-RAY RT. wrist joint B/V (Digital),700
X-RAY S/I joint LT (Digital),700
X-RAY S/I joint Rt. B/V,700
X-RAY SI Joint B/V,700
X-RAY SI Joint LT. Oblique View,700
X-RAY SI Joint RT. Oblique View,700
X-RAY Sacro Coxygial AP (Digital),500
X-RAY Sacro Coxygial RT lateral,500
X-RAY Sacro Coxygial joint AP lateral,700
X-RAY Sacrum coccyx B/V (Digital),700
X-RAY Scaphoid LT. B/V,700
X-RAY Shoulder Including Arm LT. B/V,800
X-RAY Shoulder Including Arm RT. B/V,800
X-RAY Shoulder Joint LT flexion-extension View,700
X-RAY Shoulder Joint LT. Axial View,500
X-RAY Shoulder Joint RT flexion-extension View,700
X-RAY Shoulder Joint RT. Axial View,500
X-RAY Skull A/P View,500
X-RAY Skull AP view (Digital),500
X-RAY Skull B/V (Digital),800
X-RAY Skull LAT View,500
X-RAY Skull Oblique view,500
X-RAY Skull P/A (Digital),500
X-RAY Skull lateral view,500
X-RAY Skyline view (Digital),700
X-RAY Soft tissue neck B/V (Digital),700
X-RAY Soft tissue neck lateral (Digital),500
X-RAY Stansvers view (Digital),700
X-RAY Stayloid Lateral View,500
X-RAY Stayloid Process B/V,500
X-RAY Stayloid Process view,500
X-RAY Sternoclavicular Joint LT. A/P View,500
X-RAY Sternoclavicular Joint RT. A/P View,500
X-RAY Styloid Process trans. orbital view,500
X-RAY T/M joint B/V (Digital),700
X-RAY TM Joint Close Mouth,500
X-RAY TM Joint Open Mouth,500
X-RAY Thoracic SPINE L/V,500
X-RAY Thoracic Spine A/P View.,500
X-RAY Thoracic Spine B/V,700
X-RAY Thoracic Spine B/V (Digital),700
X-RAY Thoracic Spine LT. Lat View.,500
X-RAY Thoracic Spine LT. Oblique View,500
X-RAY Thoracic Spine RT. Lat View,500
X-RAY Thoracic Spine RT. Oblique view,500
X-RAY Thoraco Lumber Spine B/V,700
X-RAY Tunnel View,600
X-RAY Upper Abdomen,500
X-RAY lumbosacral (L/S) spine AP view (Digital),500
X-RAY lumbosacral (L/S) spine Lateral view (Digital),500
X-RAY optic foramen B/V,700
X-RAY whole Body View (Child),500
X-Ray Both Knee Joint Skyline View,1000
X-Ray Both Knee Joint Standing A/P View,700
X-Ray Both Knee Joint Standing B/V,1000
X-Ray Both SI joint B/V,700
X-Ray Chest Both Lateral View,1000
X-Ray Chest Both Oblique View,1000
X-Ray Clavicle B/V,700
X-Ray Dorsal Spine Both Oblique View,700
X-Ray Femar B/V (Digital),700
X-Ray Forearm B/V,700
X-Ray LT HIP with FEMUR LT,800
X-Ray Lt Knee Joint Standing B/V,600
X-Ray Lumber Both Oblique view,700
X-Ray MANDIBLE BOTH VIEW,700
X-Ray Mandle B/V,700
X-Ray Orbit B/V,700
X-Ray Orbit oblique View,700
X-Ray Rt Knee Joint Standing B/V,600
X-Ray SI Joint Ferguson VIEW,700
X-Ray lumbo-Sacral Both Oblique View,800
X-ray Both Ankle joint B/V,1000
X-ray Both Foot joint B/V,1000
X-ray Both Knee joint B/V,1200
X-ray Chest B/V,1200
X-ray Left scapula b/v,700
X-ray R/L Foot (Weight Bearing) - A/P & Lateral View,700
X-ray Right scapula b/v,700
X-ray both Wrist B/V,1000
x-ray Hand /wrist/Arm/Forearm child R/L (single),700
Polygram TH,0
ECG,400
2D ECHO,1500
4D Colour Echo,3000
ECHO- Colour Doppler,2500
X-Ray Single Tooth RVG,500
Consultation by Family Physician,300
Consultation by Male/Female Family Physician,300
Consultation with Diabetologist,0
"Height, Weight & Vitals by Nurse",0
COLLECTION CHARGE,60
COLLECTION CHARGE,300
Collection Charge,80
Collection Charge,80
Collection Charge,200
Collection Charge,100
Suturing Wounds (Large) 8-10+ stiches,1000
USG Guided Collection Charge for Fine needle aspiration cytology (FNAC),700
75gm Glucose,40
BUTTERFLY NEEDLE/LUER ADAPTER,50
"CONTRUST (CT CHEST, CT ABDOMEN) SAME PATIENT.",3000
CT CONTRUST (Omnipaque/Amidol) 100ml/50ml,2550
CT CONTRUST (Omnipaque/Amidol) 50ml,1450
EAR SWAB FOR R/E,200
ESR (Tube),25
EXTRA CHARGE,700
EXTRA CHARGE,100
EXTRA CHARGE,500
EXTRA CHARGE REPORT,20
Fan Method Tube,400
MRI CONTRUST (Omniscane) 10ml,2550
MRI OF CONTRUST,2500
PETRIDISH,30
PLURAL FLUID FOR CELLULAR STUDY,200
Registration & Counselling about Test Preparations,100
SPUTUM FOR CYTOLOGY with R/E,1000
VACUETTE PURPLE 3/4 ML,15
VACUETTE RED 3/4 ML,15
VACUETTE BLUE 2/3 ML,15
VACUETTE GRAY 2ML,15
VACUETTE GREEN 2/3 ML,15
VACUETTE NEEDLE,15
VACUETTE VIOLET 2/3 ML,15
Bone Marrow Study Collection Charge,2000
Corporate & Field Support,1000
Eye checkup,100
Eye screening - Optometry,500
